Date,LocationID,Week_days,Daily_trips,1_day_lag,2_days_lag,3_days_lag,4_days_lag,5_days_lag,6_days_lag,7_days_lag,8_days_lag,9_days_lag,10_days_lag
2023-01-15,238,Sunday,1600,1807.0,2338.0,2400.0,2360.0,2179.0,2013.0,1710.0,2029.0,2456.0,2363.0
2023-01-15,239,Sunday,2675,3202.0,3121.0,2927.0,2961.0,2731.0,2536.0,2690.0,3293.0,3159.0,2800.0
2023-01-15,246,Sunday,2284,2138.0,1415.0,1544.0,1334.0,1160.0,912.0,1170.0,1554.0,1222.0,1324.0
2023-01-15,249,Sunday,3324,3978.0,2558.0,1997.0,1816.0,1583.0,1286.0,2582.0,3733.0,2203.0,1651.0
2023-01-15,261,Sunday,486,550.0,414.0,468.0,401.0,394.0,319.0,325.0,490.0,419.0,436.0
2023-01-15,262,Sunday,986,1229.0,1609.0,1630.0,1696.0,1622.0,1399.0,1076.0,1436.0,1699.0,1552.0
2023-01-15,263,Sunday,2151,2589.0,2451.0,2289.0,2046.0,1955.0,1797.0,2136.0,2656.0,2420.0,2035.0
2023-01-16,13,Monday,318,339.0,420.0,572.0,645.0,683.0,633.0,456.0,278.0,417.0,507.0
2023-01-16,24,Monday,197,232.0,278.0,311.0,311.0,300.0,271.0,239.0,225.0,320.0,306.0
2023-01-16,43,Monday,1229,1399.0,1938.0,1806.0,1696.0,1549.0,1550.0,1376.0,1340.0,1919.0,1994.0
2023-01-16,48,Monday,2178,3283.0,3712.0,2966.0,2865.0,2638.0,2501.0,2039.0,2725.0,3232.0,2787.0
2023-01-16,50,Monday,521,573.0,648.0,685.0,632.0,617.0,553.0,464.0,578.0,651.0,628.0
2023-01-16,68,Monday,2163,2688.0,3128.0,2807.0,2792.0,2549.0,2289.0,1897.0,1953.0,2599.0,2400.0
2023-01-16,70,Monday,573,416.0,354.0,530.0,440.0,410.0,432.0,470.0,410.0,307.0,405.0
2023-01-16,75,Monday,334,440.0,506.0,709.0,685.0,666.0,645.0,636.0,479.0,635.0,782.0
2023-01-16,79,Monday,1594,4365.0,5176.0,2770.0,2023.0,1801.0,1458.0,1221.0,3421.0,4470.0,2607.0
2023-01-16,87,Monday,291,384.0,510.0,515.0,559.0,543.0,446.0,358.0,320.0,444.0,405.0
2023-01-16,88,Monday,134,160.0,239.0,239.0,288.0,260.0,238.0,173.0,141.0,222.0,206.0
2023-01-16,90,Monday,1254,1816.0,2182.0,1761.0,1719.0,1554.0,1557.0,1144.0,1491.0,1991.0,1570.0
2023-01-16,100,Monday,1482,1536.0,1739.0,1691.0,1911.0,1835.0,1780.0,1441.0,1143.0,1479.0,1594.0
2023-01-16,107,Monday,1468,2281.0,2910.0,2467.0,2365.0,2320.0,2170.0,1606.0,1852.0,2654.0,2280.0
2023-01-16,113,Monday,962,1292.0,1850.0,1575.0,1388.0,1283.0,1251.0,998.0,1059.0,1628.0,1355.0
2023-01-16,114,Monday,956,2031.0,2520.0,1526.0,1076.0,1004.0,893.0,665.0,1619.0,2236.0,1356.0
2023-01-16,125,Monday,324,476.0,619.0,444.0,519.0,531.0,403.0,336.0,420.0,575.0,413.0
2023-01-16,132,Monday,6234,5798.0,5359.0,5780.0,5210.0,4629.0,4580.0,5590.0,6455.0,5158.0,4877.0
2023-01-16,137,Monday,737,1077.0,1278.0,1445.0,1360.0,1322.0,1202.0,1046.0,984.0,1283.0,1366.0
2023-01-16,138,Monday,3880,2863.0,2471.0,4182.0,3285.0,2432.0,2772.0,2972.0,3034.0,1961.0,2600.0
2023-01-16,140,Monday,1237,1307.0,1605.0,2485.0,2712.0,2769.0,2740.0,2483.0,1308.0,1616.0,2466.0
2023-01-16,141,Monday,2035,2376.0,2954.0,2927.0,2865.0,2859.0,2659.0,2290.0,2232.0,2995.0,3002.0
2023-01-16,142,Monday,2420,3119.0,3797.0,3473.0,3514.0,3409.0,3224.0,2557.0,2696.0,3661.0,3454.0
2023-01-16,143,Monday,870,819.0,1037.0,1234.0,1360.0,1294.0,1265.0,1141.0,846.0,1059.0,1226.0
2023-01-16,144,Monday,582,1052.0,1308.0,923.0,656.0,659.0,586.0,466.0,780.0,1175.0,765.0
2023-01-16,148,Monday,552,1974.0,2286.0,915.0,678.0,573.0,448.0,313.0,1784.0,2095.0,807.0
2023-01-16,151,Monday,670,709.0,860.0,1011.0,883.0,902.0,846.0,817.0,744.0,927.0,927.0
